TF_count,combination,R,R_squared,RMSE,N,file
2,ATF7_CREB3,0.6699985784379434,0.448898095108865,0.34418363977237454,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_13_ATF7_CREB3_rate_invert.txt
2,ATF7_CREB5,0.7446515577531607,0.5545059424642088,0.30654613530362124,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_14_ATF7_CREB5_rate_invert.txt
2,ATF7_CREM,0.7274354285738712,0.5291623027444518,0.30713693310239776,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_15_ATF7_CREM_rate_invert.txt
2,CREB1_CREB3,0.5888919389490899,0.3467937157592186,0.36471845762779076,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_16_CREB1_CREB3_rate_invert.txt
2,CREB1_CREB5,0.7334600288601426,0.5379636139355213,0.31762156678877457,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_17_CREB1_CREB5_rate_invert.txt
2,CREB1_CREM,0.8168836581884479,0.667298911015341,0.2554451744824296,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_18_CREB1_CREM_rate_invert.txt
2,CREB3_CREB5,0.7083488238597864,0.5017580562635426,0.3350242004174656,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_19_CREB3_CREB5_rate_invert.txt
2,CREB3_CREM,0.7461528439708724,0.5567440665658211,0.2963039767596466,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_20_CREB3_CREM_rate_invert.txt
2,CREB5_CREM,0.7297144569065244,0.5324831886183838,0.31181443447466767,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\2TF\CRE_2TF_selfoff_singlehit_fullanneal_comb_21_CREB5_CREM_rate_invert.txt
3,ATF1_ATF4_ATF7,0.6486630222470854,0.4207637164307228,0.3497710156407343,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_01_ATF1_ATF4_ATF7_rate_invert.txt
