TF_count,fit_level,combination,R,R_squared,RMSE,N,file
2,medium,CREB5-ATF1,0.6693415687367112,0.44801813563892157,0.3433352865904631,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREB5-ATF1_medium_seed820013_rate_invert.txt
2,medium,CREB5-ATF4,0.6684420791192229,0.4468148131372295,0.3430364322703882,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREB5-ATF4_medium_seed820014_rate_invert.txt
2,medium,CREB5-ATF7,0.746168645148308,0.5567676470024616,0.3108032687376485,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREB5-ATF7_medium_seed820015_rate_invert.txt
2,medium,CREB5-CREM,0.7768792174746055,0.6035413185439554,0.28318582609326476,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREB5-CREM_medium_seed820012_rate_invert.txt
2,medium,CREM-ATF1,0.6652138916866247,0.44250952169286445,0.3309810841247062,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREM-ATF1_medium_seed820016_rate_invert.txt
2,medium,CREM-ATF4,0.7919026315515605,0.6271097778582866,0.26880699732514945,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREM-ATF4_medium_seed820017_rate_invert.txt
2,medium,CREM-ATF7,0.7745790429172801,0.5999726937266496,0.28591870406825004,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\2TF_medium\friend_2TF_CREM-ATF7_medium_seed820018_rate_invert.txt
3,medium,ATF1-ATF4-ATF7,0.6878685220588131,0.47316310363937586,0.32861435442840536,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_ATF1-ATF4-ATF7_medium_seed830035_rate_invert.txt
3,medium,CREB1-ATF1-ATF4,0.8161108842290683,0.6660369753571517,0.2673825998288106,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-ATF1-ATF4_medium_seed830013_rate_invert.txt
3,medium,CREB1-ATF1-ATF7,0.7736963580847437,0.5986060545135959,0.2937740194812085,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB1-ATF1-ATF7_medium_seed830014_rate_invert.txt
